=== 文章 526 摘要開始 ===

## 112 年 9 月 30 日  (西元 2023 年) 合併財務報表摘要

**一、 現金及約當現金**
- 111 年 12 月 31 日  (西元 2022 年) 應付帳款包含建造合約之應付工程保留款
- 111 年 9 月 30 日  (西元 2022 年) 應付帳款包含建造合約之應付工程保留款

**十五、 其他應付款**
- 112 年 9 月 30 日  (西元 2023 年) 其他應付款包含應付薪資及獎金、應付設備款、應付外包修護工程款、應付利息、應付員工及董事酬勞、應付股利、其他
- 111 年 12 月 31 日  (西元 2022 年) 其他應付款包含應付薪資及獎金、應付設備款、應付外包修護工程款、應付利息、應付員工及董事酬勞、應付股利、其他
- 111 年 9 月 30 日  (西元 2022 年) 其他應付款包含應付薪資及獎金、應付設備款、應付外包修護工程款、應付利息、應付員工及董事酬勞、應付股利、其他

**十六、 負債準備**
- 112 年 9 月 30 日  (西元 2023 年) 負債準備包含虧損性合約、工程保固、平準基金準備
- 111 年 12 月 31 日  (西元 2022 年) 負債準備包含虧損性合約、工程保固、平準基金準備
- 111 年 9 月 30 日  (西元 2022 年) 負債準備包含虧損性合約、工程保固、平準基金準備

**十七、 退職後福利計畫**
- 112 年 9 月 30 日  (西元 2023 年) 確定福利計畫相關退休金費用彙總
- 111 年 12 月 31 日  (西元 2022 年) 確定福利計畫相關退休金費用彙總
- 111 年 9 月 30 日  (西元 2022 年) 確定福利計畫相關退休金費用彙總

**十八、 權益**
- 112 年 9 月 30 日  (西元 2023 年) 權益包含股本、資本公積、保留盈餘及其他權益項目
- 111 年 12 月 31 日  (西元 2022 年) 權益包含股本、資本公積、保留盈餘及其他權益項目
- 111 年 9 月 30 日  (西元 2022 年) 權益包含股本、資本公積、保留盈餘及其他權益項目

**十九、 營業收入**
- 112 年 9 月 30 日  (西元 2023 年) 營業收入包含商品銷售收入及工程、勞務及其他收入
- 111 年 12 月 31 日  (西元 2022 年) 營業收入包含商品銷售收入及工程、勞務及其他收入
- 111 年 9 月 30 日  (西元 2022 年) 營業收入包含商品銷售收入及工程、勞務及其他收入

**二十、 稅前淨利**
- 112 年 9 月 30 日  (西元 2023 年) 稅前淨利包含利息收入、其他收入、其他利益及損失、財務成本、非金融資產減損損失、折舊及攤銷、員工福利費用、員工及董事酬勞
- 111 年 12 月 31 日  (西元 2022 年) 稅前淨利包含利息收入、其他收入、其他利益及損失、財務成本、非金融資產減損損失、折舊及攤銷、員工福利費用、員工及董事酬勞
- 111 年 9 月 30 日  (西元 2022 年) 稅前淨利包含利息收入、其他收入、其他利益及損失、財務成本、非金融資產減損損失、折舊及攤銷、員工福利費用、員工及董事酬勞

**二十一、 所得稅**
- 112 年 9 月 30 日  (西元 2023 年) 所得稅包含認列於損益之所得稅費用、遞延所得稅、直接認列於權益之所得稅、認列於其他綜合損益之所得稅利益（費用）、所得稅核定情形
- 111 年 12 月 31 日  (西元 2022 年) 所得稅包含認列於損益之所得稅費用、遞延所得稅、直接認列於權益之所得稅、認列於其他綜合損益之所得稅利益（費用）、所得稅核定情形
- 111 年 9 月 30 日  (西元 2022 年) 所得稅包含認列於損益之所得稅費用、遞延所得稅、直接認列於權益之所得稅、認列於其他綜合損益之所得稅利益（費用）、所得稅核定情形

**二十二、 每股盈餘 (損失)**
- 112 年 9 月 30 日  (西元 2023 年) 每股盈餘 (損失)包含歸屬於本公司業主之淨利(損)，以及普通股加權平均股數
- 111 年 12 月 31 日  (西元 2022 年) 每股盈餘 (損失)包含歸屬於本公司業主之淨利(損)，以及普通股加權平均股數
- 111 年 9 月 30 日  (西元 2022 年) 每股盈餘 (損失)包含歸屬於本公司業主之淨利(損)，以及普通股加權平均股數

**二十三、 資本風險管理**
- 112 年 9 月 30 日  (西元 2023 年) 資本風險管理包含本公司及子公司管理階層透過量化數據監測本公司及子公司資本結構及資金需求
- 111 年 12 月 31 日  (西元 2022 年) 資本風險管理包含本公司及子公司管理階層透過量化數據監測本公司及子公司資本結構及資金需求
- 111 年 9 月 30 日  (西元 2022 年) 資本風險管理包含本公司及子公司管理階層透過量化數據監測本公司及子公司資本結構及資金需求

**二十四、 金融工具**
- 112 年 9 月 30 日  (西元 2023 年) 金融工具包含公允價值資訊，以及金融工具之種類
- 111 年 12 月 31 日  (西元 2022 年) 金融工具包含公允價值資訊，以及金融工具之種類
- 111 年 9 月 30 日  (西元 2022 年) 金融工具包含公允價值資訊，以及金融工具之種類

**二十五、 財務風險管理目的與政策**
- 112 年 9 月 30 日  (西元 2023 年) 財務風險管理目的與政策包含市場風險、信用風險、流動性風險
- 111 年 12 月 31 日  (西元 2022 年) 財務風險管理目的與政策包含市場風險、信用風險、流動性風險
- 111 年 9 月 30 日  (西元 2022 年) 財務風險管理目的與政策包含市場風險、信用風險、流動性風險

**二十六、 關係人交易**
- 112 年 9 月 30 日  (西元 2023 年) 關係人交易包含本公司及子公司（係本公司之關係人）間之交易
- 111 年 12 月 31 日  (西元 2022 年) 關係人交易包含本公司及子公司（係本公司之關係人）間之交易
- 111 年 9 月 30 日  (西元 2022 年) 關係人交易包含本公司及子公司（係本公司之關係人）間之交易

=== 文章 526 摘要結束 ===
